method,attention_backend,seq_len,block_size,degree,batch_size,warmup_steps,measure_steps,elapsed_sec,tokens_per_sec,mean_loss,peak_allocated_gb,peak_reserved_gb,mask,neighbor_shape,repeat
local,split,64,8,2,2,1,2,0.009481655433773994,26999.504652754928,1.9615991115570068,0.0,0.0,"{'raw_k': 8, 'effective_k_mean': 8.0, 'effective_k_min': 8, 'effective_k_max': 8, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 512, 'self_loop_rate': 1.0}","[64, 0]",0
zigzag,split,64,8,2,2,1,2,0.011461960151791573,22334.748734926085,1.562503159046173,0.0,0.0,"{'raw_k': 12, 'effective_k_mean': 12.0, 'effective_k_min': 12, 'effective_k_max': 12, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 768, 'self_loop_rate': 1.0}","[64, 4]",0
