method,attention_backend,repeats,tokens_per_sec_mean,tokens_per_sec_std,peak_allocated_gb_mean,peak_allocated_gb_std,peak_reserved_gb_mean,peak_reserved_gb_std
dense,dense_mask,3,188838.0223151904,648.2729069745013,5.722977638244629,0.0,6.029947916666667,0.09697680302794495
local,blockpair,3,442611.19082382804,4109.304169646339,0.9455709457397461,0.0,1.046875,0.0
random,blockpair,3,341435.9387267073,3030.1435675671696,1.9820737838745117,0.0,2.111328125,0.0
zigzag,blockpair,3,372036.99616219336,29012.71828358123,1.9820737838745117,0.0,2.111328125,0.0
