run_id,timestamp,host,local_or_remote,git_commit,config_path,config_sha256,command,output_dir,log_path,CUDA_VISIBLE_DEVICES,gpu_name,torch_version,task,data_mode,num_values,copy_mode,sep_token,eos_token,pad_token,method,attention_backend,N_train,N_eval,T_raw,T,B,d,G_type,H_type,causal,seed,architecture,layers,d_model,heads,ffn_dim,dropout,optimizer,learning_rate,log_every,steps,batch_size,eval_batches,raw_K,effective_K_mean_after_causal,effective_K_min_after_causal,effective_K_max_after_causal,duplicate_rate,self_loop_rate,attention_pair_count_after_causal,final_train_loss,eval_loss,eval_token_accuracy,eval_sequence_accuracy,eval_eos_accuracy,training_curves_path,tokens_per_sec,elapsed_sec,peak_allocated_gb,peak_reserved_gb,artifact_dir,metrics_path,neighbor_shape,block_pair_shape,status,failure_reason
train_N256_seed2_random,2026-06-12T05:25:07.973863+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_main.json,5bbba10598ba7dd1230c6adadd347e686f37dd058caa60d3caec5b253662ba79,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_main.json --output-dir outputs/copy_v05_main,outputs/copy_v05_main/train_N256_seed2_random,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,random,split,256,256,514,528,16,2,cyclic,cycle,True,2,transformer,8,128,4,256,0.1,adamw,0.001,250,1000,16,20,20,10.494318962097168,1,20,0.4752840518951416,1.0,5541,1.158052921295166,1.155444473028183,0.37521887159533074,0.0,1.0,outputs/copy_v05_main/train_N256_seed2_random/training_curves.png,163641.63620392108,51.62500324472785,0.8817987442016602,0.98046875,outputs/copy_v05_main/train_N256_seed2_random,outputs/copy_v05_main/train_N256_seed2_random/metrics.jsonl,"[528, 4]",,ok,
train_N256_seed2_random,2026-06-12T05:25:08.479386+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_main.json,5bbba10598ba7dd1230c6adadd347e686f37dd058caa60d3caec5b253662ba79,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_main.json --output-dir outputs/copy_v05_main,outputs/copy_v05_main/train_N256_seed2_random,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,random,split,256,512,1026,1040,16,2,cyclic,cycle,True,2,transformer,8,128,4,256,0.1,adamw,0.001,250,1000,16,20,20,10.530769348144531,1,20,0.47346153259277346,1.0,10952,1.158052921295166,1.5231713473796844,0.2495065789473684,0.0,0.0,outputs/copy_v05_main/train_N256_seed2_random/training_curves.png,163641.63620392108,51.62500324472785,0.8817987442016602,0.98046875,outputs/copy_v05_main/train_N256_seed2_random,outputs/copy_v05_main/train_N256_seed2_random/metrics.jsonl,"[528, 4]",,ok,
train_N256_seed2_random,2026-06-12T05:25:09.553644+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_main.json,5bbba10598ba7dd1230c6adadd347e686f37dd058caa60d3caec5b253662ba79,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_main.json --output-dir outputs/copy_v05_main,outputs/copy_v05_main/train_N256_seed2_random,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,random,split,256,1024,2050,2064,16,2,cyclic,cycle,True,2,transformer,8,128,4,256,0.1,adamw,0.001,250,1000,16,20,20,10.500968933105469,1,20,0.47495155334472655,1.0,21674,1.158052921295166,1.4685272574424744,0.24894207317073172,0.0,0.0,outputs/copy_v05_main/train_N256_seed2_random/training_curves.png,163641.63620392108,51.62500324472785,0.8817987442016602,0.98046875,outputs/copy_v05_main/train_N256_seed2_random,outputs/copy_v05_main/train_N256_seed2_random/metrics.jsonl,"[528, 4]",,ok,
train_N256_seed2_random,2026-06-12T05:25:12.510727+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_main.json,5bbba10598ba7dd1230c6adadd347e686f37dd058caa60d3caec5b253662ba79,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_main.json --output-dir outputs/copy_v05_main,outputs/copy_v05_main/train_N256_seed2_random,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,random,split,256,2048,4098,4112,16,2,cyclic,cycle,True,2,transformer,8,128,4,256,0.1,adamw,0.001,250,1000,16,20,20,10.498297691345215,1,20,0.47508511543273924,1.0,43169,1.158052921295166,1.4694477677345277,0.24985053684724257,0.0,0.0,outputs/copy_v05_main/train_N256_seed2_random/training_curves.png,163641.63620392108,51.62500324472785,0.8817987442016602,0.98046875,outputs/copy_v05_main/train_N256_seed2_random,outputs/copy_v05_main/train_N256_seed2_random/metrics.jsonl,"[528, 4]",,ok,
