version,run_id,status,failure_reason,timestamp,host,local_or_remote,git_commit,config_path,config_sha256,command,output_dir,log_path,CUDA_VISIBLE_DEVICES,gpu_name,torch_version,task,data_mode,num_values,copy_mode,sep_token,eos_token,pad_token,method,graph_id,graph_seed,attention_backend,N_train,N_eval,T_raw,T,B,d,G_type,H_type,causal,multiplicity_mode,seed,architecture,layers,d_model,heads,ffn_dim,dropout,optimizer,learning_rate,log_every,eval_every,steps,batch_size,eval_batches,raw_K,unique_K_mean,effective_K_mean_after_causal,effective_K_min_after_causal,effective_K_max_after_causal,pre_causal_unique_K_mean,pre_causal_pair_count,duplicate_rate,self_loop_rate,attention_pair_count_after_causal,lambda_G,mu_H,rho_bound,rho_exact,certified,remote_local_overlap_mean,target_in_1hop_rate,target_in_2hop_rate,target_in_Lhop_rate,average_shortest_path,unreachable_rate,final_train_loss,eval_loss,eval_token_accuracy,eval_sequence_accuracy,eval_eos_accuracy,training_curves_path,tokens_per_sec,elapsed_sec,peak_allocated_gb,peak_reserved_gb,artifact_dir,metrics_path,neighbor_shape,block_pair_shape
v06,train_N512_seed0_dense,ok,,2026-06-12T13:58:53.059274+00:00,hhpc,remote,,configs/copy_v06_smoke.json,b90981007965ccc1880a57d24e30eb000f865ac2ebbbd5429cf3d0a363c16f7c,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v06_smoke.json --output-dir outputs/copy_v06_smoke,outputs/copy_v06_smoke/train_N512_seed0_dense,logs/copy_v06_smoke_20260612_215813.log,3,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,dense,v06_B16_d8_s2_c41f9afbd3840ed1,2,dense_mask,512,512,1026,1040,16,8,permutation_regular,permutation_regular,True,unique_log_m,0,transformer,8,128,4,256,0.1,adamw,0.001,10,10,200,8,5,1040,520.5,520.5,1,1040,1040.0,1081600,0.49951923076923077,1.0,541320,0.4430783779678246,0.5491481939947735,0.860373989287474,0.5999831601197602,True,0.0,0.9980506822612085,0.9980506822612085,0.0,1.0,0.001949317738791423,1.384555459022522,1.385039758682251,0.25565302144249513,0.0,1.0,outputs/copy_v06_smoke/train_N512_seed0_dense/training_curves.png,127205.5627669056,13.08118893392384,2.9796295166015625,3.109375,outputs/copy_v06_smoke/train_N512_seed0_dense,outputs/copy_v06_smoke/train_N512_seed0_dense/metrics.jsonl,,
v06,train_N512_seed0_local,ok,,2026-06-12T13:59:03.417320+00:00,hhpc,remote,,configs/copy_v06_smoke.json,b90981007965ccc1880a57d24e30eb000f865ac2ebbbd5429cf3d0a363c16f7c,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v06_smoke.json --output-dir outputs/copy_v06_smoke,outputs/copy_v06_smoke/train_N512_seed0_local,logs/copy_v06_smoke_20260612_215813.log,3,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,local,v06_B16_d8_s2_c41f9afbd3840ed1,2,split,512,512,1026,1040,16,8,permutation_regular,permutation_regular,True,unique_log_m,0,transformer,8,128,4,256,0.1,adamw,0.001,10,10,200,8,5,16,8.5,8.5,1,16,16.0,16640,0.46875,1.0,8840,0.4430783779678246,0.5491481939947735,0.860373989287474,0.5999831601197602,True,0.0,0.0,0.0,0.0,inf,1.0,1.3854365348815918,1.3851502656936645,0.255458089668616,0.0,1.0,outputs/copy_v06_smoke/train_N512_seed0_local/training_curves.png,182594.54680479394,9.113087050616741,0.5001411437988281,0.580078125,outputs/copy_v06_smoke/train_N512_seed0_local,outputs/copy_v06_smoke/train_N512_seed0_local/metrics.jsonl,"[1040, 0]",
v06,train_N512_seed0_random_regular,ok,,2026-06-12T14:00:06.510744+00:00,hhpc,remote,,configs/copy_v06_smoke.json,b90981007965ccc1880a57d24e30eb000f865ac2ebbbd5429cf3d0a363c16f7c,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v06_smoke.json --output-dir outputs/copy_v06_smoke,outputs/copy_v06_smoke/train_N512_seed0_random_regular,logs/copy_v06_smoke_20260612_215813.log,3,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,random_regular,v06_B16_d8_s2_c41f9afbd3840ed1,2,split,512,512,1026,1040,16,8,permutation_regular,permutation_regular,True,unique_log_m,0,transformer,8,128,4,256,0.1,adamw,0.001,10,10,200,8,5,80,40.087501525878906,40.087501525878906,1,79,78.05673076923077,81179,0.49890623092651365,1.0,41691,0.4430783779678246,0.5491481939947735,0.860373989287474,0.5999831601197602,True,0.0,0.042884990253411304,0.9512670565302144,0.0,2.00390625,0.001949317738791423,1.3849453926086426,1.3851089954376221,0.25394736842105264,0.0,1.0,outputs/copy_v06_smoke/train_N512_seed0_random_regular/training_curves.png,27935.49110925905,59.56580442748964,5.270219802856445,5.5078125,outputs/copy_v06_smoke/train_N512_seed0_random_regular,outputs/copy_v06_smoke/train_N512_seed0_random_regular/metrics.jsonl,"[1040, 64]",
v06,train_N512_seed0_zigzag_certified,ok,,2026-06-12T14:01:05.891814+00:00,hhpc,remote,,configs/copy_v06_smoke.json,b90981007965ccc1880a57d24e30eb000f865ac2ebbbd5429cf3d0a363c16f7c,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v06_smoke.json --output-dir outputs/copy_v06_smoke,outputs/copy_v06_smoke/train_N512_seed0_zigzag_certified,logs/copy_v06_smoke_20260612_215813.log,3,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,zigzag_certified,v06_B16_d8_s2_c41f9afbd3840ed1,2,split,512,512,1026,1040,16,8,permutation_regular,permutation_regular,True,unique_log_m,0,transformer,8,128,4,256,0.1,adamw,0.001,10,10,200,8,5,80,29.83942222595215,29.83942222595215,1,63,58.875,61230,0.6270072221755981,1.0,31033,0.4430783779678246,0.5491481939947735,0.860373989287474,0.5999831601197602,True,0.0,0.04483430799220273,0.39571150097465885,0.08382066276803118,2.733201581027668,0.01364522417153996,1.3844027519226074,1.3850626945495605,0.25380116959064325,0.0,1.0,outputs/copy_v06_smoke/train_N512_seed0_zigzag_certified/training_curves.png,29550.666376967198,56.310066878795624,4.47360372543335,4.60546875,outputs/copy_v06_smoke/train_N512_seed0_zigzag_certified,outputs/copy_v06_smoke/train_N512_seed0_zigzag_certified/metrics.jsonl,"[1040, 53]",
