T,batch_size,d_model,effective_batch_size,ffn_dim,final_eval_path,gradient_accumulation_steps,graph_sha256,heads,input_length,layers,listops_accuracy,listops_macro_accuracy,log_every,method,metrics_path,mode,parameter_count,position_parameter_count,primary_metric_name,primary_metric_value,random_actual_mask_density,random_attention_pair_count,random_memory,retrieval_exact_match,retrieval_token_accuracy,seed,selective_copy_sequence_accuracy,selective_copy_token_accuracy,source_test_discarded_sha256,status,steps_completed,task,test_examples,test_loss,test_read_during_training,test_sha256,test_target_tokens,train_loss_last_step,train_loss_mean,train_sha256,training_curves_path,validation_read_during_training,version
64,8,128,16,512,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/selective_copy/random_regular/seed0/final_eval.json,2,794c5a97f741b6dc248c52b2c41df08b3c160ab27c50334436a7589ff635d075,4,64,8,,,100,random_regular,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/selective_copy/random_regular/seed0/metrics.jsonl,train,1590801,0,selective_copy_token_accuracy,0.25,0.02490234375,102,False,,,0,0.00390625,0.25,not_applicable,ok,1920,selective_copy,256,1.3868791707791388,False,8418b9e287e5cb17116c48debc10ee38f30fdc2bcdc16ecfdf939845612f96f9,1024,1.3908212184906006,1.3961245482981515,78c6270595d15f0880dccac03bab6c33599df67e5b1fca26dab789156e3b2476,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/selective_copy/random_regular/seed0/training_curves.png,False,probes_corrected_valid_as_test_l8_log5
64,8,128,16,512,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/selective_copy/random_memory/seed0/final_eval.json,2,794c5a97f741b6dc248c52b2c41df08b3c160ab27c50334436a7589ff635d075,4,64,8,,,100,random_memory,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/selective_copy/random_memory/seed0/metrics.jsonl,train,1590801,0,selective_copy_token_accuracy,0.4375,0.02490234375,102,True,,,0,0.015625,0.4375,not_applicable,ok,1920,selective_copy,256,1.0409549595788121,False,8418b9e287e5cb17116c48debc10ee38f30fdc2bcdc16ecfdf939845612f96f9,1024,1.0398115739226341,1.1623966626066249,78c6270595d15f0880dccac03bab6c33599df67e5b1fca26dab789156e3b2476,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/selective_copy/random_memory/seed0/training_curves.png,False,probes_corrected_valid_as_test_l8_log5
64,8,128,16,512,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/induction_associative_recall/random_regular/seed0/final_eval.json,2,794c5a97f741b6dc248c52b2c41df08b3c160ab27c50334436a7589ff635d075,4,64,8,,,100,random_regular,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/induction_associative_recall/random_regular/seed0/metrics.jsonl,train,3692033,0,retrieval_exact_match,0.1640625,0.02490234375,102,False,0.1640625,0.70703125,0,,,not_applicable,ok,1920,induction_associative_recall,256,0.4515711551066488,False,523daf8bdfd585a28beefe91323842652f809689ec729c938bfe7cea969c8c77,1024,0.4579696897417307,0.786734190369801,fec8439a5bf5203f1a62a78d104bc84648163574557692ce9782f2b1e1e1757f,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/induction_associative_recall/random_regular/seed0/training_curves.png,False,probes_corrected_valid_as_test_l8_log5
64,8,128,16,512,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/induction_associative_recall/random_memory/seed0/final_eval.json,2,794c5a97f741b6dc248c52b2c41df08b3c160ab27c50334436a7589ff635d075,4,64,8,,,100,random_memory,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/induction_associative_recall/random_memory/seed0/metrics.jsonl,train,3692033,0,retrieval_exact_match,0.04296875,0.02490234375,102,True,0.04296875,0.419921875,0,,,not_applicable,ok,1920,induction_associative_recall,256,0.9009454280603677,False,523daf8bdfd585a28beefe91323842652f809689ec729c938bfe7cea969c8c77,1024,0.9085949920117855,1.105525210274694,fec8439a5bf5203f1a62a78d104bc84648163574557692ce9782f2b1e1e1757f,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/induction_associative_recall/random_memory/seed0/training_curves.png,False,probes_corrected_valid_as_test_l8_log5
64,8,128,16,512,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/lra_listops/random_regular/seed0/final_eval.json,2,794c5a97f741b6dc248c52b2c41df08b3c160ab27c50334436a7589ff635d075,4,64,8,0.775,0.775,100,random_regular,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/lra_listops/random_regular/seed0/metrics.jsonl,train,1592862,0,listops_accuracy,0.775,0.02490234375,102,False,,,0,,,not_applicable,ok,3000,lra_listops,400,0.7295979380607605,False,1d4814687b87b5984ad286c03edd6c8875c809bb0027013736b7fcbcdb9e7d1f,400,1.4082130193710327,0.9958990754373371,9082d47dd3d870645a62eaa07e74996b2ada6b3daff133608306775d14a6f521,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/lra_listops/random_regular/seed0/training_curves.png,False,probes_corrected_valid_as_test_l8_log5
64,8,128,16,512,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/lra_listops/random_memory/seed0/final_eval.json,2,794c5a97f741b6dc248c52b2c41df08b3c160ab27c50334436a7589ff635d075,4,64,8,0.775,0.775,100,random_memory,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/lra_listops/random_memory/seed0/metrics.jsonl,train,1592862,0,listops_accuracy,0.775,0.02490234375,102,True,,,0,,,not_applicable,ok,3000,lra_listops,400,0.8630440402030944,False,1d4814687b87b5984ad286c03edd6c8875c809bb0027013736b7fcbcdb9e7d1f,400,1.5154701471328735,1.1800336363812287,9082d47dd3d870645a62eaa07e74996b2ada6b3daff133608306775d14a6f521,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density025/lra_listops/random_memory/seed0/training_curves.png,False,probes_corrected_valid_as_test_l8_log5
