run_id,timestamp,host,local_or_remote,git_commit,config_path,config_sha256,command,output_dir,log_path,CUDA_VISIBLE_DEVICES,gpu_name,torch_version,task,data_mode,num_values,copy_mode,sep_token,eos_token,pad_token,method,attention_backend,N_train,N_eval,T_raw,T,B,d,G_type,H_type,causal,seed,architecture,layers,d_model,heads,ffn_dim,dropout,optimizer,learning_rate,log_every,steps,batch_size,eval_batches,raw_K,effective_K_mean_after_causal,effective_K_min_after_causal,effective_K_max_after_causal,duplicate_rate,self_loop_rate,attention_pair_count_after_causal,final_train_loss,eval_loss,eval_token_accuracy,eval_sequence_accuracy,eval_eos_accuracy,training_curves_path,tokens_per_sec,elapsed_sec,peak_allocated_gb,peak_reserved_gb,artifact_dir,metrics_path,neighbor_shape,block_pair_shape,status,failure_reason
train_N1024_seed2_local,2026-06-12T06:08:33.200200+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_main.json,5bbba10598ba7dd1230c6adadd347e686f37dd058caa60d3caec5b253662ba79,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_main.json --output-dir outputs/copy_v05_main,outputs/copy_v05_main/train_N1024_seed2_local,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,local,split,1024,256,514,528,16,2,cyclic,cycle,True,2,transformer,8,128,4,256,0.1,adamw,0.001,250,1000,16,20,16,8.5,1,16,0.46875,1.0,4488,1.3855899572372437,1.4267346680164337,0.25030398832684825,0.0,0.0,outputs/copy_v05_main/train_N1024_seed2_local/training_curves.png,587192.0921811019,56.24053940735757,1.8827929496765137,2.244140625,outputs/copy_v05_main/train_N1024_seed2_local,outputs/copy_v05_main/train_N1024_seed2_local/metrics.jsonl,"[2064, 0]",,ok,
train_N1024_seed2_local,2026-06-12T06:08:33.474197+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_main.json,5bbba10598ba7dd1230c6adadd347e686f37dd058caa60d3caec5b253662ba79,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_main.json --output-dir outputs/copy_v05_main,outputs/copy_v05_main/train_N1024_seed2_local,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,local,split,1024,512,1026,1040,16,2,cyclic,cycle,True,2,transformer,8,128,4,256,0.1,adamw,0.001,250,1000,16,20,16,8.5,1,16,0.46875,1.0,8840,1.3855899572372437,1.406915044784546,0.2511817738791423,0.0,0.0,outputs/copy_v05_main/train_N1024_seed2_local/training_curves.png,587192.0921811019,56.24053940735757,1.8827929496765137,2.244140625,outputs/copy_v05_main/train_N1024_seed2_local,outputs/copy_v05_main/train_N1024_seed2_local/metrics.jsonl,"[2064, 0]",,ok,
train_N1024_seed2_local,2026-06-12T06:08:34.028919+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_main.json,5bbba10598ba7dd1230c6adadd347e686f37dd058caa60d3caec5b253662ba79,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_main.json --output-dir outputs/copy_v05_main,outputs/copy_v05_main/train_N1024_seed2_local,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,local,split,1024,1024,2050,2064,16,2,cyclic,cycle,True,2,transformer,8,128,4,256,0.1,adamw,0.001,250,1000,16,20,16,8.5,1,16,0.46875,1.0,17544,1.3855899572372437,1.3851421236991883,0.24966768292682928,0.0,1.0,outputs/copy_v05_main/train_N1024_seed2_local/training_curves.png,587192.0921811019,56.24053940735757,1.8827929496765137,2.244140625,outputs/copy_v05_main/train_N1024_seed2_local,outputs/copy_v05_main/train_N1024_seed2_local/metrics.jsonl,"[2064, 0]",,ok,
train_N1024_seed2_local,2026-06-12T06:08:35.165805+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_main.json,5bbba10598ba7dd1230c6adadd347e686f37dd058caa60d3caec5b253662ba79,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_main.json --output-dir outputs/copy_v05_main,outputs/copy_v05_main/train_N1024_seed2_local,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,local,split,1024,2048,4098,4112,16,2,cyclic,cycle,True,2,transformer,8,128,4,256,0.1,adamw,0.001,250,1000,16,20,16,8.5,1,16,0.46875,1.0,34952,1.3855899572372437,1.396524477005005,0.2497819058077111,0.0,0.0,outputs/copy_v05_main/train_N1024_seed2_local/training_curves.png,587192.0921811019,56.24053940735757,1.8827929496765137,2.244140625,outputs/copy_v05_main/train_N1024_seed2_local,outputs/copy_v05_main/train_N1024_seed2_local/metrics.jsonl,"[2064, 0]",,ok,
