run_id,timestamp,host,local_or_remote,git_commit,config_path,config_sha256,command,output_dir,log_path,CUDA_VISIBLE_DEVICES,gpu_name,torch_version,task,data_mode,num_values,copy_mode,sep_token,eos_token,pad_token,method,attention_backend,N_train,N_eval,T_raw,T,B,d,G_type,H_type,causal,seed,architecture,layers,d_model,heads,ffn_dim,dropout,optimizer,learning_rate,log_every,steps,batch_size,eval_batches,raw_K,effective_K_mean_after_causal,effective_K_min_after_causal,effective_K_max_after_causal,duplicate_rate,self_loop_rate,attention_pair_count_after_causal,final_train_loss,eval_loss,eval_token_accuracy,eval_sequence_accuracy,eval_eos_accuracy,training_curves_path,tokens_per_sec,elapsed_sec,peak_allocated_gb,peak_reserved_gb,artifact_dir,metrics_path,neighbor_shape,block_pair_shape,status,failure_reason
train_N128_seed0_dense,2026-06-12T05:14:40.012287+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_smoke.json,2590d5af79852064249503c451cd818aff222d1bb3b53ac06660a9b7f2ea95de,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_smoke.json --output-dir outputs/copy_v05_smoke_gpu,outputs/copy_v05_smoke_gpu/train_N128_seed0_dense,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,dense,dense_mask,128,128,258,272,16,2,cyclic,cycle,True,0,transformer,2,64,4,128,0.1,adamw,0.001,10,20,4,2,272,136.5,1,272,0.49816176470588236,1.0,37128,1.4386155605316162,1.4418111443519592,0.2703488372093023,0.0,0.0,outputs/copy_v05_smoke_gpu/train_N128_seed0_dense/training_curves.png,60313.8046755935,0.36077976040542126,0.05060434341430664,0.0703125,outputs/copy_v05_smoke_gpu/train_N128_seed0_dense,outputs/copy_v05_smoke_gpu/train_N128_seed0_dense/metrics.jsonl,,,ok,
train_N128_seed0_local,2026-06-12T05:14:40.875184+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_smoke.json,2590d5af79852064249503c451cd818aff222d1bb3b53ac06660a9b7f2ea95de,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_smoke.json --output-dir outputs/copy_v05_smoke_gpu,outputs/copy_v05_smoke_gpu/train_N128_seed0_local,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,local,split,128,128,258,272,16,2,cyclic,cycle,True,0,transformer,2,64,4,128,0.1,adamw,0.001,10,20,4,2,16,8.5,1,16,0.46875,1.0,2312,1.4339061975479126,1.4343942403793335,0.26647286821705424,0.0,0.0,outputs/copy_v05_smoke_gpu/train_N128_seed0_local/training_curves.png,79594.31828286774,0.2733863480389118,0.02676534652709961,0.05078125,outputs/copy_v05_smoke_gpu/train_N128_seed0_local,outputs/copy_v05_smoke_gpu/train_N128_seed0_local/metrics.jsonl,"[272, 0]",,ok,
train_N128_seed0_random,2026-06-12T05:14:41.884016+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_smoke.json,2590d5af79852064249503c451cd818aff222d1bb3b53ac06660a9b7f2ea95de,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_smoke.json --output-dir outputs/copy_v05_smoke_gpu,outputs/copy_v05_smoke_gpu/train_N128_seed0_random,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,random,split,128,128,258,272,16,2,cyclic,cycle,True,0,transformer,2,64,4,128,0.1,adamw,0.001,10,20,4,2,20,10.459558486938477,1,20,0.4770220756530762,1.0,2845,1.4361577033996582,1.4412879347801208,0.2703488372093023,0.0,0.0,outputs/copy_v05_smoke_gpu/train_N128_seed0_random/training_curves.png,61161.29551315573,0.35578056052327156,0.0327763557434082,0.052734375,outputs/copy_v05_smoke_gpu/train_N128_seed0_random,outputs/copy_v05_smoke_gpu/train_N128_seed0_random/metrics.jsonl,"[272, 4]",,ok,
train_N128_seed0_zigzag,2026-06-12T05:14:42.840981+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_smoke.json,2590d5af79852064249503c451cd818aff222d1bb3b53ac06660a9b7f2ea95de,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_smoke.json --output-dir outputs/copy_v05_smoke_gpu,outputs/copy_v05_smoke_gpu/train_N128_seed0_zigzag,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,zigzag,split,128,128,258,272,16,2,cyclic,cycle,True,0,transformer,2,64,4,128,0.1,adamw,0.001,10,20,4,2,20,10.5,1,20,0.475,1.0,2856,1.4364928007125854,1.4418233036994934,0.2751937984496124,0.0,0.0,outputs/copy_v05_smoke_gpu/train_N128_seed0_zigzag/training_curves.png,61283.68884368595,0.35507000982761383,0.0327763557434082,0.052734375,outputs/copy_v05_smoke_gpu/train_N128_seed0_zigzag,outputs/copy_v05_smoke_gpu/train_N128_seed0_zigzag/metrics.jsonl,"[272, 4]",,ok,
