method,attention_backend,repeats,tokens_per_sec_mean,tokens_per_sec_std,peak_allocated_gb_mean,peak_allocated_gb_std,peak_reserved_gb_mean,peak_reserved_gb_std
local,blockpair,1,23186.36715446584,0.0,0.0,0.0,0.0,0.0
zigzag,blockpair,1,5950.148058768897,0.0,0.0,0.0,0.0,0.0
