method,attention_backend,seq_len,block_size,degree,batch_size,warmup_steps,measure_steps,elapsed_sec,tokens_per_sec,mean_loss,peak_allocated_gb,peak_reserved_gb,mask,neighbor_shape,block_pair_shape,repeat
local,blockpair,64,8,2,2,1,2,0.01104097068309784,23186.36715446584,1.9615991115570068,0.0,0.0,"{'raw_k': 8, 'effective_k_mean': 8.0, 'effective_k_min': 8, 'effective_k_max': 8, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 512, 'self_loop_rate': 1.0}","[64, 0]","[0, 7]",0
zigzag,blockpair,64,8,2,2,1,2,0.04302413947880268,5950.148058768897,1.5491820573806763,0.0,0.0,"{'raw_k': 12, 'effective_k_mean': 12.0, 'effective_k_min': 12, 'effective_k_max': 12, 'duplicate_rate_estimate': 0.0, 'attention_pair_count': 768, 'self_loop_rate': 1.0}","[64, 4]","[256, 7]",0
