target_in_1hop_rate,target_in_2hop_rate,target_in_Lhop_rate,average_shortest_path,unreachable_rate,method,N,T,B,d,seed,layers,mask_scope,attention_pair_count,raw_K
1.0,1.0,1.0,1.0,0.0,dense,512,1040,16,8,0,8,structural,1081600,1040
0.9980506822612085,0.9980506822612085,0.9980506822612085,1.0,0.001949317738791423,dense,512,1040,16,8,0,8,causal_effective,541320,1040
