run_id,timestamp,host,local_or_remote,git_commit,config_path,config_sha256,command,output_dir,log_path,CUDA_VISIBLE_DEVICES,gpu_name,torch_version,task,data_mode,num_values,copy_mode,sep_token,eos_token,pad_token,method,attention_backend,N_train,N_eval,T_raw,T,B,d,G_type,H_type,causal,seed,architecture,layers,d_model,heads,ffn_dim,dropout,optimizer,learning_rate,log_every,steps,batch_size,eval_batches,raw_K,effective_K_mean_after_causal,effective_K_min_after_causal,effective_K_max_after_causal,duplicate_rate,self_loop_rate,attention_pair_count_after_causal,final_train_loss,eval_loss,eval_token_accuracy,eval_sequence_accuracy,eval_eos_accuracy,training_curves_path,tokens_per_sec,elapsed_sec,peak_allocated_gb,peak_reserved_gb,artifact_dir,metrics_path,neighbor_shape,block_pair_shape,status,failure_reason
train_N1024_seed0_random,2026-06-12T05:49:14.611820+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_main.json,5bbba10598ba7dd1230c6adadd347e686f37dd058caa60d3caec5b253662ba79,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_main.json --output-dir outputs/copy_v05_main,outputs/copy_v05_main/train_N1024_seed0_random,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,random,split,1024,256,514,528,16,2,cyclic,cycle,True,0,transformer,8,128,4,256,0.1,adamw,0.001,250,1000,16,20,20,10.528409004211426,1,20,0.47357954978942873,1.0,5559,1.3851807117462158,1.4253950893878937,0.24998784046692607,0.0,0.0,outputs/copy_v05_main/train_N1024_seed0_random/training_curves.png,395500.8191111096,83.49919495545328,3.304759979248047,3.69921875,outputs/copy_v05_main/train_N1024_seed0_random,outputs/copy_v05_main/train_N1024_seed0_random/metrics.jsonl,"[2064, 4]",,ok,
train_N1024_seed0_random,2026-06-12T05:49:15.054500+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_main.json,5bbba10598ba7dd1230c6adadd347e686f37dd058caa60d3caec5b253662ba79,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_main.json --output-dir outputs/copy_v05_main,outputs/copy_v05_main/train_N1024_seed0_random,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,random,split,1024,512,1026,1040,16,2,cyclic,cycle,True,0,transformer,8,128,4,256,0.1,adamw,0.001,250,1000,16,20,20,10.506731033325195,1,20,0.47466344833374025,1.0,10927,1.3851807117462158,1.406359112262726,0.24960404483430798,0.0,0.0,outputs/copy_v05_main/train_N1024_seed0_random/training_curves.png,395500.8191111096,83.49919495545328,3.304759979248047,3.69921875,outputs/copy_v05_main/train_N1024_seed0_random,outputs/copy_v05_main/train_N1024_seed0_random/metrics.jsonl,"[2064, 4]",,ok,
train_N1024_seed0_random,2026-06-12T05:49:15.991378+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_main.json,5bbba10598ba7dd1230c6adadd347e686f37dd058caa60d3caec5b253662ba79,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_main.json --output-dir outputs/copy_v05_main,outputs/copy_v05_main/train_N1024_seed0_random,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,random,split,1024,1024,2050,2064,16,2,cyclic,cycle,True,0,transformer,8,128,4,256,0.1,adamw,0.001,250,1000,16,20,20,10.515503883361816,1,20,0.4742248058319092,1.0,21704,1.3851807117462158,1.3852608740329742,0.25066158536585365,0.0,1.0,outputs/copy_v05_main/train_N1024_seed0_random/training_curves.png,395500.8191111096,83.49919495545328,3.304759979248047,3.69921875,outputs/copy_v05_main/train_N1024_seed0_random,outputs/copy_v05_main/train_N1024_seed0_random/metrics.jsonl,"[2064, 4]",,ok,
train_N1024_seed0_random,2026-06-12T05:49:18.446129+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_main.json,5bbba10598ba7dd1230c6adadd347e686f37dd058caa60d3caec5b253662ba79,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_main.json --output-dir outputs/copy_v05_main,outputs/copy_v05_main/train_N1024_seed0_random,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,random,split,1024,2048,4098,4112,16,2,cyclic,cycle,True,0,transformer,8,128,4,256,0.1,adamw,0.001,250,1000,16,20,20,10.482490539550781,1,20,0.4758754730224609,1.0,43104,1.3851807117462158,1.3960902035236358,0.2490849194729136,0.0,0.0,outputs/copy_v05_main/train_N1024_seed0_random/training_curves.png,395500.8191111096,83.49919495545328,3.304759979248047,3.69921875,outputs/copy_v05_main/train_N1024_seed0_random,outputs/copy_v05_main/train_N1024_seed0_random/metrics.jsonl,"[2064, 4]",,ok,
