method,attention_backend,repeats,tokens_per_sec_mean,tokens_per_sec_std,peak_allocated_gb_mean,peak_allocated_gb_std,peak_reserved_gb_mean,peak_reserved_gb_std
dense,dense_mask,3,317736.818225059,1383.6412404600144,3.2468996047973633,0.0,3.453125,0.0067658234670659265
local,split,3,441534.2841575809,3240.5484485088646,0.9441022872924805,0.0,1.033203125,0.0
random,split,3,339933.18341402774,36953.058476706094,1.6588563919067383,0.0,1.796875,0.0
zigzag,split,3,340511.28509436984,33979.80782438132,1.6588563919067383,0.0,1.796875,0.0
