task,method,attention_backend,N,B,d,raw_K,effective_K_mean,attention_pair_count,final_valid_loss,final_valid_accuracy,tokens_per_sec,peak_allocated_gb,peak_reserved_gb,device,neighbor_shape,block_pair_shape
copy_first,local,blockpair,64,8,2,8,8.0,512,1.5186777114868164,0.0,14487.206380912496,0.0,0.0,cpu,"[64, 0]","[0, 7]"
copy_first,zigzag,blockpair,64,8,2,12,12.0,768,1.9053131341934204,0.0,4038.139479821739,0.0,0.0,cpu,"[64, 4]","[256, 7]"
