method,attention_backend,repeats,tokens_per_sec_mean,tokens_per_sec_std,peak_allocated_gb_mean,peak_allocated_gb_std,peak_reserved_gb_mean,peak_reserved_gb_std
dense,dense_mask,3,314642.1566326197,1281.712240729799,3.2468996047973633,0.0,3.453125,0.0067658234670659265
local,blockpair,3,417181.0334625647,2317.767286186722,0.9441022872924805,0.0,1.033203125,0.0
random,blockpair,3,332378.92206152965,4315.212788494359,1.9792604446411133,0.0,2.109375,0.0
zigzag,blockpair,3,333566.75125699554,2060.3243849895625,1.9792604446411133,0.0,2.109375,0.0
