task,method,attention_backend,N,B,d,raw_K,effective_K_mean,attention_pair_count,final_valid_loss,final_valid_accuracy,tokens_per_sec,peak_allocated_gb,peak_reserved_gb,device,neighbor_shape
copy_first,dense,dense_mask,1024,16,2,1024,1024.0,1048576,0.020977542083710433,1.0,122852.98795025136,5.722977638244629,5.91796875,cuda,
copy_first,local,split,1024,16,2,16,16.0,16384,1.3774739444255828,0.3,424359.756449223,0.9465475082397461,1.048828125,cuda,"[1024, 0]"
copy_first,random,split,1024,16,2,20,20.0,20480,1.3775948464870453,0.3,306529.43060488225,1.6613340377807617,1.80859375,cuda,"[1024, 4]"
copy_first,zigzag,split,1024,16,2,20,20.0,20480,0.00027995595592074097,1.0,304513.2669286747,1.6613340377807617,1.80859375,cuda,"[1024, 4]"
