task,method,N,B,d,raw_K,effective_K_mean,attention_pair_count,final_valid_loss,final_valid_accuracy,tokens_per_sec,peak_allocated_gb,peak_reserved_gb,device
associative_recall,local,512,16,2,16,16.0,8192,1.386313,0.2719,221688.715113,0.926292,1.035156,cuda
associative_recall,zigzag,512,16,2,20,20.0,10240,1.386421,0.2687,239583.521416,0.926292,1.035156,cuda
