run_id,timestamp,host,local_or_remote,git_commit,config_path,config_sha256,command,output_dir,log_path,CUDA_VISIBLE_DEVICES,gpu_name,torch_version,task,data_mode,num_values,copy_mode,sep_token,eos_token,pad_token,method,attention_backend,N_train,N_eval,T_raw,T,B,d,G_type,H_type,causal,seed,architecture,layers,d_model,heads,ffn_dim,dropout,optimizer,learning_rate,log_every,steps,batch_size,eval_batches,raw_K,effective_K_mean_after_causal,effective_K_min_after_causal,effective_K_max_after_causal,duplicate_rate,self_loop_rate,attention_pair_count_after_causal,final_train_loss,eval_loss,eval_token_accuracy,eval_sequence_accuracy,eval_eos_accuracy,training_curves_path,tokens_per_sec,elapsed_sec,peak_allocated_gb,peak_reserved_gb,artifact_dir,metrics_path,neighbor_shape,block_pair_shape,status,failure_reason
train_N128_seed0_dense,2026-06-12T06:15:03.876150+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_smoke.json,2590d5af79852064249503c451cd818aff222d1bb3b53ac06660a9b7f2ea95de,"/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_smoke.json --methods dense,local,random,zigzag --steps 2 --batch-size 2 --eval-batches 1 --output-dir outputs/copy_v05_phase1_smoke",outputs/copy_v05_phase1_smoke/train_N128_seed0_dense,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,dense,dense_mask,128,128,258,272,16,2,cyclic,cycle,True,0,transformer,2,64,4,128,0.1,adamw,0.001,10,2,2,1,272,136.5,1,272,0.49816176470588236,1.0,37128,2.0344395637512207,1.88245689868927,0.22868217054263565,0.0,0.0,outputs/copy_v05_phase1_smoke/train_N128_seed0_dense/training_curves.png,6393.98650093638,0.17015988379716873,0.034932613372802734,0.046875,outputs/copy_v05_phase1_smoke/train_N128_seed0_dense,outputs/copy_v05_phase1_smoke/train_N128_seed0_dense/metrics.jsonl,,,ok,
train_N128_seed0_local,2026-06-12T06:15:04.510398+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_smoke.json,2590d5af79852064249503c451cd818aff222d1bb3b53ac06660a9b7f2ea95de,"/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_smoke.json --methods dense,local,random,zigzag --steps 2 --batch-size 2 --eval-batches 1 --output-dir outputs/copy_v05_phase1_smoke",outputs/copy_v05_phase1_smoke/train_N128_seed0_local,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,local,split,128,128,258,272,16,2,cyclic,cycle,True,0,transformer,2,64,4,128,0.1,adamw,0.001,10,2,2,1,16,8.5,1,16,0.46875,1.0,2312,2.0325114727020264,1.8754332065582275,0.20930232558139536,0.0,0.0,outputs/copy_v05_phase1_smoke/train_N128_seed0_local/training_curves.png,39688.374194940625,0.027413569390773773,0.02235269546508789,0.046875,outputs/copy_v05_phase1_smoke/train_N128_seed0_local,outputs/copy_v05_phase1_smoke/train_N128_seed0_local/metrics.jsonl,"[272, 0]",,ok,
train_N128_seed0_random,2026-06-12T06:15:05.220456+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_smoke.json,2590d5af79852064249503c451cd818aff222d1bb3b53ac06660a9b7f2ea95de,"/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_smoke.json --methods dense,local,random,zigzag --steps 2 --batch-size 2 --eval-batches 1 --output-dir outputs/copy_v05_phase1_smoke",outputs/copy_v05_phase1_smoke/train_N128_seed0_random,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,random,split,128,128,258,272,16,2,cyclic,cycle,True,0,transformer,2,64,4,128,0.1,adamw,0.001,10,2,2,1,20,10.459558486938477,1,20,0.4770220756530762,1.0,2845,2.0310475826263428,1.8771295547485352,0.21705426356589147,0.0,0.0,outputs/copy_v05_phase1_smoke/train_N128_seed0_random/training_curves.png,26495.44945654703,0.04106365516781807,0.025364398956298828,0.05078125,outputs/copy_v05_phase1_smoke/train_N128_seed0_random,outputs/copy_v05_phase1_smoke/train_N128_seed0_random/metrics.jsonl,"[272, 4]",,ok,
train_N128_seed0_zigzag,2026-06-12T06:15:05.896481+00:00,hhpc,remote,75330e074f67e3f181dc3e4cab2d941eb54dbf2d,configs/copy_v05_smoke.json,2590d5af79852064249503c451cd818aff222d1bb3b53ac06660a9b7f2ea95de,"/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/synthetic_mvp.py --config configs/copy_v05_smoke.json --methods dense,local,random,zigzag --steps 2 --batch-size 2 --eval-batches 1 --output-dir outputs/copy_v05_phase1_smoke",outputs/copy_v05_phase1_smoke/train_N128_seed0_zigzag,,1,NVIDIA A100-SXM4-80GB,2.10.0+cu128,copy,online,4,full_copy,5,6,0,zigzag,split,128,128,258,272,16,2,cyclic,cycle,True,0,transformer,2,64,4,128,0.1,adamw,0.001,10,2,2,1,20,10.5,1,20,0.475,1.0,2856,2.0321044921875,1.8752800226211548,0.22093023255813954,0.0,0.0,outputs/copy_v05_phase1_smoke/train_N128_seed0_zigzag/training_curves.png,28671.297323057624,0.037947358563542366,0.025364398956298828,0.05078125,outputs/copy_v05_phase1_smoke/train_N128_seed0_zigzag,outputs/copy_v05_phase1_smoke/train_N128_seed0_zigzag/metrics.jsonl,"[272, 4]",,ok,
