version,run_id,status,failure_reason,timestamp,host,local_or_remote,git_commit,config_path,config_sha256,command,output_dir,log_path,CUDA_VISIBLE_DEVICES,gpu_name,torch_version,task,data_mode,num_values,copy_mode,sep_token,eos_token,pad_token,method,graph_id,graph_seed,attention_backend,N_train,N_eval,T_raw,T,B,d,G_type,H_type,causal,multiplicity_mode,seed,architecture,layers,d_model,heads,ffn_dim,dropout,optimizer,learning_rate,log_every,eval_every,steps,batch_size,eval_batches,raw_K,unique_K_mean,effective_K_mean_after_causal,effective_K_min_after_causal,effective_K_max_after_causal,pre_causal_unique_K_mean,pre_causal_pair_count,duplicate_rate,self_loop_rate,attention_pair_count_after_causal,lambda_G,mu_H,rho_bound,rho_exact,certified,graph_certified,implementation_certified,theory_aligned_method,remote_local_overlap_mean,target_in_1hop_rate,target_in_2hop_rate,target_in_Lhop_rate,average_shortest_path,unreachable_rate,final_train_loss,eval_loss,eval_token_accuracy,eval_sequence_accuracy,eval_eos_accuracy,training_curves_path,tokens_per_sec,elapsed_sec,peak_allocated_gb,peak_reserved_gb,artifact_dir,metrics_path,neighbor_shape,block_pair_shape,timestamp_utc,python_version,graph_generation_algorithm,canonical_graph_dir,canonical_graph_artifact_path,canonical_graph_artifact_sha256,canonical_graph_seed,canonical_graph_generation_algorithm,graph_generation_status,graph_generation_attempts,graph_artifact_path,graph_generation_path,graph_certificate_path,graph_artifact_sha256,graph_artifact_sha256_matches_canonical,graph_certificate_sha256,N_total,copy_source_length,rho_zigzag_bound,rho_zigzag_certified,rho_zigzag_exact,rot_g_is_bijection,P_G_row_stochastic_error,P_G_col_stochastic_error,P_H_row_stochastic_error,P_H_col_stochastic_error,collision_count_mean,zigzag_actual_k_min_after_causal,zigzag_actual_k_mean_after_causal,zigzag_actual_k_max_after_causal,zigzag_attention_pair_count_after_causal,random_target_k_source,random_actual_k_min_after_causal,random_actual_k_mean_after_causal,random_actual_k_max_after_causal,random_attention_pair_count_after_causal,random_k_alignment_error_mean,random_k_alignment_error_max,random_alignment_mode,random_k_aligned_to_zigzag,base_learning_rate,lr_scheduler,warmup_ratio,warmup_steps,min_lr_ratio,min_learning_rate,cosine_total_steps,weight_decay,grad_clip_norm,checkpoint_every,total_wall_time_sec,train_wall_time_sec,eval_wall_time_sec,data_prep_wall_time_sec,summary_path,raw_config_snapshot_path,resolved_config_snapshot_path,dataset,dataset_source,dataset_revision_or_hash,dataset_cache_or_local_path,wikitext_data_phase_dir,data_readiness_path,data_readiness_sha256,tokenization_summary_path,tokenization_summary_sha256,tokenizer,tokenizer_algorithm,tokenizer_train_split,tokenizer_path,tokenizer_sha256,tokenizer_min_frequency,tokenizer_special_tokens,unk_token,vocab_size,train_nonempty_rows,test_nonempty_rows,tokenized_train_path,tokenized_train_sha256,tokenized_test_path,tokenized_test_sha256,train_steps,train_epoch_count,train_token_count,train_block_count,test_token_count,test_block_count,test_loss,test_perplexity,train_tokens_per_sec,test_tokens_per_sec
v07,seed0_dense,ok,,,hhpc,remote,93fce1f,,,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/run_experiment.py --config configs/wikitext_v07_smoke_n1024_q32_B32_d8.json --output-dir outputs/wikitext_v07_smoke_n1024_q32_B32_d8 --device cuda --log-path logs/wikitext_v07_smoke_n1024_q32_B32_d8_20260614T144847Z.log --local-or-remote remote,,logs/wikitext_v07_smoke_n1024_q32_B32_d8_20260614T144847Z.log,3,NVIDIA A100-SXM4-80GB,2.10.0+cu128,wikitext,,,,,<eos>,<pad>,dense,v07_B32_d8_s0_619e9b962fc61bfd,0,dense_mask,,,,,32,8,permutation_regular,permutation_regular,True,unique_log_m,0,,8,128,4,256,0.1,adamw,0.0003,1,100,2,4,2,1024,512.5,512.5,1,1024,1024.0,1048576,0.49951171875,1.0,524800,0.0625,0.6436248213046418,,,,,,False,0.0,,,,,,10.488106727600098,,,,,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_dense/training_curves.png,,,3.4149317741394043,3.927734375,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_dense,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_dense/metrics.jsonl,,,2026-06-14T14:49:28.330557+00:00,3.10.0,zigzag_v07_fixed_N1024_q32_B32_d8,outputs/v07_graph_n1024_q32_B32_d8,outputs/v07_graph_n1024_q32_B32_d8/selected_graph.json,53ae37a6584833a1d20d51162a01a03d18bf7eeb9fd0efd2ebf3b8a482427a48,0,zigzag_v07_fixed_N1024_q32_B32_d8,ok,1,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_dense/artifacts/graph/selected_graph.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_dense/artifacts/graph/graph_generation.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_dense/artifacts/graph/graph_certificate.json,53ae37a6584833a1d20d51162a01a03d18bf7eeb9fd0efd2ebf3b8a482427a48,True,6a3c14d21a5091152499b5d573aa16249b95187dda552eb75405cf3ff8580054,1024,,0.9114789606824917,True,0.46386654287979273,True,0.0,0.0,0.0,0.0,16.40625,1,40.263671875,80,41230,zigzag_actual_post_causal,1,40.263671875,80,41230,0.0,0,per_query,,0.0003,constant,0.0,0,0.0,0.0,2,0.01,1.0,0,2.0498564895242453,1.9995616767555475,0.05029481276869774,0.0,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_dense/summary.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_dense/raw_config_snapshot.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_dense/resolved_config_snapshot.json,wikitext-103-raw-v1,Salesforce/wikitext,,datasets/wikitext_v07_raw,outputs/wikitext_v07_data_tokenize_n1024,outputs/wikitext_v07_data_tokenize_n1024/data_readiness.json,37e9a25c4ed92bc02e9b9d3a6d4cb32b1d993291ef405518fbdf20ae15b5b2f0,outputs/wikitext_v07_data_tokenize_n1024/tokenization_summary.json,a2a03b32e43ce6f6b22b489c092489150b88dcf971ce7e90a2347b8de1782b47,byte_level_bpe,byte_level_bpe,train,outputs/wikitext_v07_data_tokenize_n1024/artifacts/tokenizer/tokenizer.json,1a720397783d6758ee208b8605d7ff197fad86f01b1c56c4c5019cfda96ca616,2,"<pad>,<eos>,<unk>",<unk>,32000,1165029,2891,outputs/wikitext_v07_data_tokenize_n1024/tokenized/train_blocks.jsonl,fbe867482e8ef567a0990477e142af5ae9f12f66ce67fcacd0b32d65d3dd5142,outputs/wikitext_v07_data_tokenize_n1024/tokenized/test_blocks.jsonl,5d9e64748794b682f0cedb4e259a83b646359787df54b9b5f5d2bb26396bb3fa,2,0,115241250,112540,275123,268,10.446125030517578,34410.77532542813,4096.8978827860865,164313.30304256972
v07,seed0_local,ok,,,hhpc,remote,93fce1f,,,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/run_experiment.py --config configs/wikitext_v07_smoke_n1024_q32_B32_d8.json --output-dir outputs/wikitext_v07_smoke_n1024_q32_B32_d8 --device cuda --log-path logs/wikitext_v07_smoke_n1024_q32_B32_d8_20260614T144847Z.log --local-or-remote remote,,logs/wikitext_v07_smoke_n1024_q32_B32_d8_20260614T144847Z.log,3,NVIDIA A100-SXM4-80GB,2.10.0+cu128,wikitext,,,,,<eos>,<pad>,local,v07_B32_d8_s0_619e9b962fc61bfd,0,split,,,,,32,8,permutation_regular,permutation_regular,True,unique_log_m,0,,8,128,4,256,0.1,adamw,0.0003,1,100,2,4,2,32,16.5,16.5,1,32,32.0,32768,0.484375,1.0,16896,0.0625,0.6436248213046418,,,,,,False,0.0,,,,,,10.484493255615234,,,,,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_local/training_curves.png,,,3.4149317741394043,3.927734375,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_local,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_local/metrics.jsonl,1024x0,,2026-06-14T14:49:29.602447+00:00,3.10.0,zigzag_v07_fixed_N1024_q32_B32_d8,outputs/v07_graph_n1024_q32_B32_d8,outputs/v07_graph_n1024_q32_B32_d8/selected_graph.json,53ae37a6584833a1d20d51162a01a03d18bf7eeb9fd0efd2ebf3b8a482427a48,0,zigzag_v07_fixed_N1024_q32_B32_d8,ok,1,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_local/artifacts/graph/selected_graph.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_local/artifacts/graph/graph_generation.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_local/artifacts/graph/graph_certificate.json,53ae37a6584833a1d20d51162a01a03d18bf7eeb9fd0efd2ebf3b8a482427a48,True,6a3c14d21a5091152499b5d573aa16249b95187dda552eb75405cf3ff8580054,1024,,0.9114789606824917,True,0.46386654287979273,True,0.0,0.0,0.0,0.0,16.40625,1,40.263671875,80,41230,zigzag_actual_post_causal,1,40.263671875,80,41230,0.0,0,per_query,,0.0003,constant,0.0,0,0.0,0.0,2,0.01,1.0,0,0.7192136086523533,0.6889601610600948,0.030253447592258453,0.0,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_local/summary.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_local/raw_config_snapshot.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_local/resolved_config_snapshot.json,wikitext-103-raw-v1,Salesforce/wikitext,,datasets/wikitext_v07_raw,outputs/wikitext_v07_data_tokenize_n1024,outputs/wikitext_v07_data_tokenize_n1024/data_readiness.json,37e9a25c4ed92bc02e9b9d3a6d4cb32b1d993291ef405518fbdf20ae15b5b2f0,outputs/wikitext_v07_data_tokenize_n1024/tokenization_summary.json,a2a03b32e43ce6f6b22b489c092489150b88dcf971ce7e90a2347b8de1782b47,byte_level_bpe,byte_level_bpe,train,outputs/wikitext_v07_data_tokenize_n1024/artifacts/tokenizer/tokenizer.json,1a720397783d6758ee208b8605d7ff197fad86f01b1c56c4c5019cfda96ca616,2,"<pad>,<eos>,<unk>",<unk>,32000,1165029,2891,outputs/wikitext_v07_data_tokenize_n1024/tokenized/train_blocks.jsonl,fbe867482e8ef567a0990477e142af5ae9f12f66ce67fcacd0b32d65d3dd5142,outputs/wikitext_v07_data_tokenize_n1024/tokenized/test_blocks.jsonl,5d9e64748794b682f0cedb4e259a83b646359787df54b9b5f5d2bb26396bb3fa,2,0,115241250,112540,275123,268,10.453192234039307,34654.824635304365,11890.38272894483,275025.5268955612
v07,seed0_zigzag_certified,ok,,,hhpc,remote,93fce1f,,,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/run_experiment.py --config configs/wikitext_v07_smoke_n1024_q32_B32_d8.json --output-dir outputs/wikitext_v07_smoke_n1024_q32_B32_d8 --device cuda --log-path logs/wikitext_v07_smoke_n1024_q32_B32_d8_20260614T144847Z.log --local-or-remote remote,,logs/wikitext_v07_smoke_n1024_q32_B32_d8_20260614T144847Z.log,3,NVIDIA A100-SXM4-80GB,2.10.0+cu128,wikitext,,,,,<eos>,<pad>,zigzag_certified,v07_B32_d8_s0_619e9b962fc61bfd,0,split,,,,,32,8,permutation_regular,permutation_regular,True,unique_log_m,0,,8,128,4,256,0.1,adamw,0.0003,1,100,2,4,2,96,40.263671875,40.263671875,1,80,79.59375,81504,0.5805867513020834,1.0,41230,0.0625,0.6436248213046418,,,,True,True,True,0.0,,,,,,10.48806381225586,,,,,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_zigzag_certified/training_curves.png,,,4.280172824859619,5.392578125,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_zigzag_certified,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_zigzag_certified/metrics.jsonl,1024x59,,2026-06-14T14:49:31.430526+00:00,3.10.0,zigzag_v07_fixed_N1024_q32_B32_d8,outputs/v07_graph_n1024_q32_B32_d8,outputs/v07_graph_n1024_q32_B32_d8/selected_graph.json,53ae37a6584833a1d20d51162a01a03d18bf7eeb9fd0efd2ebf3b8a482427a48,0,zigzag_v07_fixed_N1024_q32_B32_d8,ok,1,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_zigzag_certified/artifacts/graph/selected_graph.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_zigzag_certified/artifacts/graph/graph_generation.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_zigzag_certified/artifacts/graph/graph_certificate.json,53ae37a6584833a1d20d51162a01a03d18bf7eeb9fd0efd2ebf3b8a482427a48,True,6a3c14d21a5091152499b5d573aa16249b95187dda552eb75405cf3ff8580054,1024,,0.9114789606824917,True,0.46386654287979273,True,0.0,0.0,0.0,0.0,16.40625,1,40.263671875,80,41230,zigzag_actual_post_causal,1,40.263671875,80,41230,0.0,0,per_query,True,0.0003,constant,0.0,0,0.0,0.0,2,0.01,1.0,0,1.3285732418298721,1.0721110850572586,0.2564621567726135,0.0,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_zigzag_certified/summary.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_zigzag_certified/raw_config_snapshot.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_zigzag_certified/resolved_config_snapshot.json,wikitext-103-raw-v1,Salesforce/wikitext,,datasets/wikitext_v07_raw,outputs/wikitext_v07_data_tokenize_n1024,outputs/wikitext_v07_data_tokenize_n1024/data_readiness.json,37e9a25c4ed92bc02e9b9d3a6d4cb32b1d993291ef405518fbdf20ae15b5b2f0,outputs/wikitext_v07_data_tokenize_n1024/tokenization_summary.json,a2a03b32e43ce6f6b22b489c092489150b88dcf971ce7e90a2347b8de1782b47,byte_level_bpe,byte_level_bpe,train,outputs/wikitext_v07_data_tokenize_n1024/artifacts/tokenizer/tokenizer.json,1a720397783d6758ee208b8605d7ff197fad86f01b1c56c4c5019cfda96ca616,2,"<pad>,<eos>,<unk>",<unk>,32000,1165029,2891,outputs/wikitext_v07_data_tokenize_n1024/tokenized/train_blocks.jsonl,fbe867482e8ef567a0990477e142af5ae9f12f66ce67fcacd0b32d65d3dd5142,outputs/wikitext_v07_data_tokenize_n1024/tokenized/test_blocks.jsonl,5d9e64748794b682f0cedb4e259a83b646359787df54b9b5f5d2bb26396bb3fa,2,0,115241250,112540,275123,268,10.447923183441162,34472.706826149675,7640.999252948202,31994.464820461046
v07,seed0_random_regular,ok,,,hhpc,remote,93fce1f,,,/home/huiwei/miniconda3/envs/ysx_base/bin/python scripts/run_experiment.py --config configs/wikitext_v07_smoke_n1024_q32_B32_d8.json --output-dir outputs/wikitext_v07_smoke_n1024_q32_B32_d8 --device cuda --log-path logs/wikitext_v07_smoke_n1024_q32_B32_d8_20260614T144847Z.log --local-or-remote remote,,logs/wikitext_v07_smoke_n1024_q32_B32_d8_20260614T144847Z.log,3,NVIDIA A100-SXM4-80GB,2.10.0+cu128,wikitext,,,,,<eos>,<pad>,random_regular,v07_B32_d8_s0_619e9b962fc61bfd,0,split,,,,,32,8,permutation_regular,permutation_regular,True,unique_log_m,0,,8,128,4,256,0.1,adamw,0.0003,1,100,2,4,2,96,40.263671875,40.263671875,1,80,55.763671875,57102,0.5805867513020834,1.0,41230,0.0625,0.6436248213046418,,,,,False,False,0.0,,,,,,10.476217269897461,,,,,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_random_regular/training_curves.png,,,4.280172824859619,5.392578125,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_random_regular,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_random_regular/metrics.jsonl,1024x59,,2026-06-14T14:49:33.188188+00:00,3.10.0,zigzag_v07_fixed_N1024_q32_B32_d8,outputs/v07_graph_n1024_q32_B32_d8,outputs/v07_graph_n1024_q32_B32_d8/selected_graph.json,53ae37a6584833a1d20d51162a01a03d18bf7eeb9fd0efd2ebf3b8a482427a48,0,zigzag_v07_fixed_N1024_q32_B32_d8,ok,1,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_random_regular/artifacts/graph/selected_graph.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_random_regular/artifacts/graph/graph_generation.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_random_regular/artifacts/graph/graph_certificate.json,53ae37a6584833a1d20d51162a01a03d18bf7eeb9fd0efd2ebf3b8a482427a48,True,6a3c14d21a5091152499b5d573aa16249b95187dda552eb75405cf3ff8580054,1024,,0.9114789606824917,True,0.46386654287979273,True,0.0,0.0,0.0,0.0,16.40625,1,40.263671875,80,41230,zigzag_actual_post_causal,1,40.263671875,80,41230,0.0,0,per_query,True,0.0003,constant,0.0,0,0.0,0.0,2,0.01,1.0,0,1.2622952200472355,1.0035959593951702,0.2586992606520653,0.0,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_random_regular/summary.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_random_regular/raw_config_snapshot.json,outputs/wikitext_v07_smoke_n1024_q32_B32_d8/seed0_random_regular/resolved_config_snapshot.json,wikitext-103-raw-v1,Salesforce/wikitext,,datasets/wikitext_v07_raw,outputs/wikitext_v07_data_tokenize_n1024,outputs/wikitext_v07_data_tokenize_n1024/data_readiness.json,37e9a25c4ed92bc02e9b9d3a6d4cb32b1d993291ef405518fbdf20ae15b5b2f0,outputs/wikitext_v07_data_tokenize_n1024/tokenization_summary.json,a2a03b32e43ce6f6b22b489c092489150b88dcf971ce7e90a2347b8de1782b47,byte_level_bpe,byte_level_bpe,train,outputs/wikitext_v07_data_tokenize_n1024/artifacts/tokenizer/tokenizer.json,1a720397783d6758ee208b8605d7ff197fad86f01b1c56c4c5019cfda96ca616,2,"<pad>,<eos>,<unk>",<unk>,32000,1165029,2891,outputs/wikitext_v07_data_tokenize_n1024/tokenized/train_blocks.jsonl,fbe867482e8ef567a0990477e142af5ae9f12f66ce67fcacd0b32d65d3dd5142,outputs/wikitext_v07_data_tokenize_n1024/tokenized/test_blocks.jsonl,5d9e64748794b682f0cedb4e259a83b646359787df54b9b5f5d2bb26396bb3fa,2,0,115241250,112540,275123,268,10.450522899627686,34562.442673406054,8162.647451208365,31721.202451834048
