method,attention_backend,repeats,tokens_per_sec_mean,tokens_per_sec_std,peak_allocated_gb_mean,peak_allocated_gb_std,peak_reserved_gb_mean,peak_reserved_gb_std
local,split,1,26999.504652754928,0.0,0.0,0.0,0.0,0.0
zigzag,split,1,22334.748734926085,0.0,0.0,0.0,0.0,0.0
