task,method,attention_backend,N,B,d,raw_K,effective_K_mean,attention_pair_count,final_valid_loss,final_valid_accuracy,tokens_per_sec,peak_allocated_gb,peak_reserved_gb,device,neighbor_shape,block_pair_shape
copy_first,dense,dense_mask,64,16,2,64,64.0,4096,2.2644355297088623,0.0,6629.84856003805,0.0,0.0,cpu,,
copy_first,local,split,64,16,2,16,16.0,1024,2.9658265113830566,0.0,26331.916652306405,0.0,0.0,cpu,"[64, 0]",
