method,attention_backend,repeats,tokens_per_sec_mean,tokens_per_sec_std,peak_allocated_gb_mean,peak_allocated_gb_std,peak_reserved_gb_mean,peak_reserved_gb_std
local,blockpair,1,21285.693141103973,0.0,0.0,0.0,0.0,0.0
zigzag,blockpair,1,14042.278314885163,0.0,0.0,0.0,0.0,0.0
