method,attention_backend,repeats,tokens_per_sec_mean,tokens_per_sec_std,peak_allocated_gb_mean,peak_allocated_gb_std,peak_reserved_gb_mean,peak_reserved_gb_std
dense,dense_mask,3,314591.3334793654,1330.4721680743128,3.2468996047973633,0.0,3.453125,0.0067658234670659265
local,blockpair,3,429628.7458821726,20717.963691906636,0.9441022872924805,0.0,1.033203125,0.0
random,blockpair,3,362895.98356293235,62622.31307076872,1.4939031600952148,0.0,1.6015625,0.0
zigzag,blockpair,3,321902.79882404936,978.2939635802785,1.4939031600952148,0.0,1.6015625,0.0
