T,batch_size,d_model,effective_batch_size,ffn_dim,final_eval_path,gradient_accumulation_steps,graph_sha256,heads,input_length,layers,listops_accuracy,listops_macro_accuracy,log_every,method,metrics_path,mode,parameter_count,position_parameter_count,primary_metric_name,primary_metric_value,random_actual_mask_density,random_attention_pair_count,random_memory,retrieval_exact_match,retrieval_token_accuracy,seed,selective_copy_sequence_accuracy,selective_copy_token_accuracy,source_test_discarded_sha256,status,steps_completed,task,test_examples,test_loss,test_read_during_training,test_sha256,test_target_tokens,train_loss_last_step,train_loss_mean,train_sha256,training_curves_path,validation_read_during_training,version
64,8,128,16,512,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/selective_copy/random_regular/seed0/final_eval.json,2,794c5a97f741b6dc248c52b2c41df08b3c160ab27c50334436a7589ff635d075,4,64,8,,,100,random_regular,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/selective_copy/random_regular/seed0/metrics.jsonl,train,1590801,0,selective_copy_token_accuracy,1.0,0.050048828125,205,False,,,0,1.0,1.0,not_applicable,ok,1920,selective_copy,256,0.00021356190825372323,False,8418b9e287e5cb17116c48debc10ee38f30fdc2bcdc16ecfdf939845612f96f9,1024,0.00021332272808649577,0.0866839859972624,78c6270595d15f0880dccac03bab6c33599df67e5b1fca26dab789156e3b2476,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/selective_copy/random_regular/seed0/training_curves.png,False,probes_corrected_valid_as_test_l8_log5
64,8,128,16,512,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/selective_copy/random_memory/seed0/final_eval.json,2,794c5a97f741b6dc248c52b2c41df08b3c160ab27c50334436a7589ff635d075,4,64,8,,,100,random_memory,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/selective_copy/random_memory/seed0/metrics.jsonl,train,1590801,0,selective_copy_token_accuracy,1.0,0.050048828125,205,True,,,0,1.0,1.0,not_applicable,ok,1920,selective_copy,256,0.00031770644829975936,False,8418b9e287e5cb17116c48debc10ee38f30fdc2bcdc16ecfdf939845612f96f9,1024,0.0003141826964565553,0.0638150065626841,78c6270595d15f0880dccac03bab6c33599df67e5b1fca26dab789156e3b2476,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/selective_copy/random_memory/seed0/training_curves.png,False,probes_corrected_valid_as_test_l8_log5
64,8,128,16,512,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/induction_associative_recall/random_regular/seed0/final_eval.json,2,794c5a97f741b6dc248c52b2c41df08b3c160ab27c50334436a7589ff635d075,4,64,8,,,100,random_regular,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/induction_associative_recall/random_regular/seed0/metrics.jsonl,train,3692033,0,retrieval_exact_match,1.0,0.050048828125,205,False,1.0,1.0,0,,,not_applicable,ok,1920,induction_associative_recall,256,0.0004019346765744558,False,523daf8bdfd585a28beefe91323842652f809689ec729c938bfe7cea969c8c77,1024,0.0004019933294330258,0.17278354677773583,fec8439a5bf5203f1a62a78d104bc84648163574557692ce9782f2b1e1e1757f,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/induction_associative_recall/random_regular/seed0/training_curves.png,False,probes_corrected_valid_as_test_l8_log5
64,8,128,16,512,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/induction_associative_recall/random_memory/seed0/final_eval.json,2,794c5a97f741b6dc248c52b2c41df08b3c160ab27c50334436a7589ff635d075,4,64,8,,,100,random_memory,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/induction_associative_recall/random_memory/seed0/metrics.jsonl,train,3692033,0,retrieval_exact_match,1.0,0.050048828125,205,True,1.0,1.0,0,,,not_applicable,ok,1920,induction_associative_recall,256,0.00058746857848746,False,523daf8bdfd585a28beefe91323842652f809689ec729c938bfe7cea969c8c77,1024,0.0005884038655494805,0.24120995661307157,fec8439a5bf5203f1a62a78d104bc84648163574557692ce9782f2b1e1e1757f,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/induction_associative_recall/random_memory/seed0/training_curves.png,False,probes_corrected_valid_as_test_l8_log5
64,8,128,16,512,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/lra_listops/random_regular/seed0/final_eval.json,2,794c5a97f741b6dc248c52b2c41df08b3c160ab27c50334436a7589ff635d075,4,64,8,1.0,1.0,100,random_regular,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/lra_listops/random_regular/seed0/metrics.jsonl,train,1592862,0,listops_accuracy,1.0,0.050048828125,205,False,,,0,,,not_applicable,ok,3000,lra_listops,400,0.0004713946959236637,False,1d4814687b87b5984ad286c03edd6c8875c809bb0027013736b7fcbcdb9e7d1f,400,0.0007432732963934541,0.2236035422235582,9082d47dd3d870645a62eaa07e74996b2ada6b3daff133608306775d14a6f521,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/lra_listops/random_regular/seed0/training_curves.png,False,probes_corrected_valid_as_test_l8_log5
64,8,128,16,512,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/lra_listops/random_memory/seed0/final_eval.json,2,794c5a97f741b6dc248c52b2c41df08b3c160ab27c50334436a7589ff635d075,4,64,8,1.0,1.0,100,random_memory,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/lra_listops/random_memory/seed0/metrics.jsonl,train,1592862,0,listops_accuracy,1.0,0.050048828125,205,True,,,0,,,not_applicable,ok,3000,lra_listops,400,0.024712528941454367,False,1d4814687b87b5984ad286c03edd6c8875c809bb0027013736b7fcbcdb9e7d1f,400,0.07020194828510284,0.4325685771633968,9082d47dd3d870645a62eaa07e74996b2ada6b3daff133608306775d14a6f521,outputs/probes_dense_to_one_easy_v02/runs/dense_to_one_easy_v02_random_density05/lra_listops/random_memory/seed0/training_curves.png,False,probes_corrected_valid_as_test_l8_log5
