task,task_source,benchmark_scope,method,attention_backend,N,B,d,K_eff,params,seed,valid_metric,test_metric,final_valid_loss,final_valid_accuracy,memory_gb,tokens_per_sec,profile_protocol,artifact_dir,command_path,data_version,notes
copy_first,synthetic,synthetic_only,dense,dense_mask,64,16,2,64.0,{},0,0.0,,2.2644355297088623,0.0,0.0,6629.84856003805,training_loop_single_run,outputs/phase6_runner_smoke/copy_first_seed0,outputs/phase6_runner_smoke/copy_first_seed0/command.sh,unverified,Generated by phase6_runner; synthetic result is not an official LRA claim.
copy_first,synthetic,synthetic_only,local,split,64,16,2,16.0,{},0,0.0,,2.9658265113830566,0.0,0.0,26331.916652306405,training_loop_single_run,outputs/phase6_runner_smoke/copy_first_seed0,outputs/phase6_runner_smoke/copy_first_seed0/command.sh,unverified,Generated by phase6_runner; synthetic result is not an official LRA claim.
